Season,Team/Season,Team,Team ID,Team ID/Season,Conference,Conference/Season,Conference 5=> rec,Conference OR,Conference SRS,Conference Age,pre playoff odds,pre playoff odds rank,pre season odds,champion,champion share,make playoffs,top 3 conference,rk conference,overall record,over500 rec,over600 rec,20 =< wins,5 => rec,sum coach playoff games,sum coy shares,sum playoff games,sum champion,sum champion share,sum mvp shares,sum all defense,sum all nba,sum dpoy shares,sum smoy shares,sum mip shares,sum all stars,sum player L1Y cs,sum player L3Y cs,sum player L5Y cs,sum player L8Y cs,sum player L10Y cs,sum L3Y mvp shares ,sum L5Y  mvp shares,sum franchise L1Y cs,sum franchise L3Y cs,sum franchise L5Y cs,sum franchise L8Y cs,sum franchise L10Y cs,team_rating_custom,max_player_rating_custom,curr/past mvp or past fmvp,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offense Four Factors|eFG%,Offense Four Factors|TOV%,Offense Four Factors|ORB%,Offense Four Factors|FT/FGA,Defense Four Factors|eFG%,Defense Four Factors|TOV%,Defense Four Factors|DRB%,Defense Four Factors|FT/FGA
2024,Indiana Pacers 2024,Indiana Pacers,29,29 2024,East,East 2024,0.47297571,0.471544715,-0.981333333,26.45333333,11000,0,25000,0,0,1,0,5,0.573170732,0.551020408,0.5,9,0.428571429,126,1.249,222,1,8.625,0.017,0,2,0.036,0.062,1.072,3,0.375,3.25,6.0625,8,8.5625,0,0.017,0,0,0,0.375,1,22.10050447,60.65,0,47,92.7,0.507,13.2,35.3,0.374,33.8,57.4,0.589,16.1,20.5,0.782,10.1,31.4,41.5,30.8,7.7,5.9,12.9,21.4,123.3,44.5,89.8,0.496,10.7,29.3,0.365,33.9,60.5,0.56,20.5,26,0.787,11,32.4,43.4,24.6,6.6,5.4,13.9,18.3,120.2,25.3,47,35,48,34,3.05,-0.3,2.75,121,118,3,101.7,0.222,0.38,0.606,0.578,11.3,23.8,0.173,0.556,12.1,74.1,0.228
2024,Boston Celtics 2024,Boston Celtics,6,6 2024,East,East 2024,0.47297571,0.471544715,-0.981333333,26.45333333,165,0,450,0,0,1,1,1,0.780487805,0.6875,0.6,19,0.5,20,0.154,609,1,22.9375,0.324,7,5,0.153,0.002,0.409,13,5.4375,14.3125,16.8125,20.625,21.125,0.323,0.324,0.6875,1.625,2.5625,3.9375,3.9375,43.11009529,87.96112,0,43.9,90.2,0.487,16.5,42.5,0.388,27.4,47.7,0.575,16.3,20.2,0.807,10.7,35.6,46.3,26.9,6.8,6.6,11.9,16.2,120.6,41.5,91.6,0.453,12.9,36.7,0.352,28.6,55,0.52,13.3,17.3,0.768,11.1,32.3,43.3,24.9,6.2,3.7,12,17.3,109.2,28.2,64,18,66,16,11.34,-0.6,10.75,123.2,111.6,11.6,97.2,0.224,0.471,0.609,0.578,10.8,24.9,0.18,0.523,10.8,76.3,0.145
2024,Oklahoma City Thunder 2024,Oklahoma City Thunder,26,26 2024,West,West 2024,0.524223745,0.528455285,0.981333333,26.29333333,1600,0,10000,0,0,1,1,1,0.695121951,0.622641509,0.684210526,17,0.588235294,0,0.328,59,0,2.5,0.046,0,1,0,0.002,0.643,2,0,0.8125,2.25,2.5,2.5,0.046,0.046,0,0,0.25,1.125,1.75,33.30410176,95.68923,0,44.5,89.3,0.499,13.3,34.2,0.389,31.3,55.1,0.567,17.7,21.5,0.825,8.8,33.2,42,27.1,8.5,6.6,12.7,18.8,120.1,40.6,89.3,0.455,13.4,37.2,0.361,27.2,52.1,0.522,18.1,22.9,0.789,11.8,32.9,44.7,26.9,7.1,5.1,15.7,18.9,112.7,23.4,57,25,58,24,7.41,-0.05,7.36,119.5,112.1,7.4,99.8,0.24,0.383,0.608,0.573,11.4,21.1,0.198,0.53,13.6,73.8,0.202
2024,Milwaukee Bucks 2024,Milwaukee Bucks,3,3 2024,East,East 2024,0.47297571,0.471544715,-0.981333333,26.45333333,1400,0,600,0,0,1,1,3,0.597560976,0.54,0.631578947,10,0.526315789,0,0,682,6,23.9375,3.865,10,13,2.243,0.21,1.198,17,1.0625,12.0625,18.625,21.5625,23,1.584,3.559,0.0625,1.5,2.4375,2.75,2.875,22.56990147,90.566555,1,43.1,88.5,0.487,14.2,38.1,0.373,29,50.4,0.574,18.5,23.9,0.774,9.4,34.8,44.2,26.5,6.8,5,12.9,19.2,119,43.2,91.9,0.47,12.6,35.3,0.356,30.6,56.6,0.541,17.4,21.5,0.807,10.3,33.7,44,26.5,7.1,4.2,12,19.2,116.4,30.2,49,33,47,35,2.62,-0.18,2.44,118.4,115.8,2.6,99.9,0.27,0.43,0.601,0.568,11.5,21.8,0.209,0.539,10.6,77.2,0.189
2024,Atlanta Hawks 2024,Atlanta Hawks,22,22 2024,East,East 2024,0.47297571,0.471544715,-0.981333333,26.45333333,100000,0,8000,0,0,1,0,10,0.43902439,0.384615385,0.352941176,4,0.476190476,57,0.85,396,1,14,0,1,1,0.024,0.05,0.675,3,1.0625,6.1875,7.0625,9.75,11.8125,0,0,0.125,0.8125,0.8125,1.1875,1.875,11.99191667,45.616,0,43,92.5,0.465,13.7,37.7,0.364,29.3,54.8,0.535,18.5,23.2,0.797,12.5,32.2,44.7,26.6,7.5,4.5,13.5,18.6,118.3,44.6,90.2,0.495,14,36.4,0.384,30.6,53.7,0.57,17.3,21.8,0.792,10.6,33.6,44.2,28.2,7.8,5.6,14.1,19.4,120.5,26.2,36,46,36,46,-2.18,-0.19,-2.38,117.2,119.4,-2.2,100.1,0.251,0.408,0.576,0.539,11.6,27.1,0.2,0.572,12.4,75.2,0.192
2024,Los Angeles Lakers 2024,Los Angeles Lakers,11,11 2024,West,West 2024,0.524223745,0.528455285,0.981333333,26.29333333,3300,0,1500,0,0,1,0,8,0.573170732,0.482142857,0.454545455,7,0.75,16,0.006,504,5,20.0625,9.498,10,23,1.773,0.054,1.026,26,4.375,6.5,9.875,12.875,14.5625,0.002,0.83,0.5,0.625,1.625,1.625,1.625,19.88359313,70.38609,1,43.7,87.5,0.499,11.8,31.4,0.377,31.8,56.2,0.567,18.9,24.2,0.782,8.2,34.9,43.1,28.5,7.4,5.5,14,15.6,118,44.4,93.7,0.474,14.3,37.9,0.376,30.2,55.8,0.54,14.3,18,0.795,10.9,33.2,44,28.2,8.2,4.8,13.4,19.7,117.4,28,47,35,42,40,0.6,0.48,1.07,115.9,115.3,0.6,100.9,0.276,0.358,0.601,0.566,12.5,19.9,0.216,0.55,11.7,76.2,0.153
2024,Dallas Mavericks 2024,Dallas Mavericks,5,5 2024,West,West 2024,0.524223745,0.528455285,0.981333333,26.29333333,1700,0,2500,0,0,1,0,5,0.609756098,0.470588235,0.333333333,9,0.666666667,42,0.134,303,2,11.625,0.396,0,7,0,0.194,0.256,12,0,4.6875,7.3125,10.6875,11.625,0.198,0.396,0,0.75,0.875,0.9375,1.1875,21.90873579,96.34098,0,43.1,89.7,0.481,14.6,39.5,0.369,28.5,50.1,0.569,17,22.5,0.758,9.7,33.2,42.9,25.7,6.9,5,12.5,18.3,117.9,43,90.4,0.475,13.1,35.6,0.368,29.8,54.8,0.545,16.6,21.6,0.77,10.9,34.1,45.1,27.5,7.4,4,13.7,20.3,115.6,26.5,50,32,46,36,2.21,0.09,2.3,117.6,115.4,2.2,100.1,0.251,0.441,0.592,0.562,11.2,22.2,0.19,0.548,12.1,75.2,0.184
2024,Golden State Warriors 2024,Golden State Warriors,8,8 2024,West,West 2024,0.524223745,0.528455285,0.981333333,26.29333333,8500,0,1200,0,0,1,0,9,0.56097561,0.41509434,0.217391304,11,0.423076923,140,1.339,914,19,38.625,4.51,18,24,2.485,0,0.702,28,3.375,13.5625,17.75,30,35.5625,0.598,0.797,0.375,1.375,2.25,5.1875,6.375,22.74080833,69.47682,1,43.7,91.6,0.477,14.8,38.9,0.38,28.9,52.7,0.548,15.6,20,0.78,12.1,34.6,46.7,29.3,7,4.6,14.3,19.5,117.8,42.1,90.4,0.466,13.3,37,0.359,28.8,53.5,0.539,17.7,22.4,0.788,10.9,32,42.9,26.7,7.7,5,13,17.9,115.2,28.4,46,36,47,35,2.61,0.16,2.77,117.8,115.2,2.6,99.2,0.219,0.425,0.586,0.557,12.5,27.5,0.171,0.539,11.5,76.1,0.195
2024,Sacramento Kings 2024,Sacramento Kings,23,23 2024,West,West 2024,0.524223745,0.528455285,0.981333333,26.29333333,24000,0,3500,0,0,1,0,9,0.56097561,0.454545455,0.5,9,0.590909091,103,1.606,269,5,11.125,0.029,0,2,0.008,0.424,0.198,4,1.875,4.3125,5.75,9.25,10.4375,0.029,0.029,0.1875,0.1875,0.1875,0.1875,0.1875,18.71463225,64.877635,0,43.3,90.9,0.477,14.4,39.3,0.366,29,51.7,0.561,15.5,20.9,0.745,10.8,33.2,44,28.3,7.6,4.2,13.1,19.9,116.6,41.6,86.8,0.48,13.1,33.8,0.387,28.5,52.9,0.539,18.5,23.1,0.8,9.1,33.4,42.5,26.9,7.4,4.5,13.9,18.3,114.8,26.4,46,36,45,37,1.74,0.55,2.29,116.9,115.2,1.7,98.8,0.229,0.432,0.582,0.556,11.6,24.5,0.171,0.555,12.5,78.4,0.213
2024,Phoenix Suns 2024,Phoenix Suns,4,4 2024,West,West 2024,0.524223745,0.528455285,0.981333333,26.29333333,1900,0,600,0,0,1,0,6,0.597560976,0.529411765,0.388888889,7,0.565217391,88,0.444,451,2,16.1875,3.506,0,13,0.016,1.701,0.547,17,1.375,5.1875,7.6875,13,14.375,0.217,0.242,0.375,1.6875,1.6875,1.6875,1.6875,24.74728313,70.11055,1,42.5,86.1,0.493,12.4,32.6,0.382,30,53.6,0.561,18.9,23.4,0.808,10.1,33.9,44.1,27,7.4,6,14.9,18,116.2,42,90.6,0.464,13.1,36,0.364,28.9,54.6,0.529,16.1,20.8,0.774,11,30.4,41.3,26.3,8.4,4.5,12.7,19.7,113.2,29.3,49,33,49,33,3.06,0.02,3.08,117.6,114.6,3,98.3,0.271,0.378,0.603,0.565,13.4,25,0.219,0.536,11.3,75.6,0.178
